format_name,format_size_mm,weight_gsm_range,recommended_dpi,finish_type,uses,notes
A4,210x297,60-300,300-600,Matte/Glossy,Office documents,Standard office paper 80-90 gsm
A3,297x420,60-300,300-600,Matte/Glossy,Large documents,Double A4 size
Letter,215.9x279.4,60-300,300-600,Matte/Glossy,USA office,Slightly larger than A4
Legal,215.9x355.6,60-300,300-600,Matte/Glossy,Legal documents,Extended length
A5,148x210,60-200,300-600,Matte/Glossy,Small documents,Half A4 size
B5,176x250,60-200,300-600,Matte/Glossy,Books,ISO B series
Tabloid,279.4x431.8,60-300,300-600,Matte/Glossy,Newspapers,Double Letter
Business Card Standard,90x50,200-350,600-1200,Glossy/Matte,Promotion,Heavy cardstock recommended
Postcard,102x152,150-300,300-600,Glossy/Matte,Marketing,Matte finish for handwriting
Envelope,110x220,80-120,300-600,Matte,Mail,Kraft or white finish
Label,25x76,120-200,300-600,Glossy/Matte,Identification,Waterproof labels recommended
4x6,102x152,200-300,300-600,Glossy,Photography,Glossy finish best for photos
8x10,203x254,200-300,300-600,Glossy/Matte,Photography,Professional photo paper
Brochure,210x297,150-250,300-600,Glossy/Matte,Marketing,Trifold or bifold format
Flyer,216x280,150-250,300-600,Glossy/Matte,Advertising,Full color recommended
Poster,610x914,150-250,300-600,Matte,Display,Banner paper for outdoor
Banner Paper Roll,24-36 width,100-150,300-600,Matte,Large format,Vinyl or fabric backing
Certificate,216x279,150-300,600,Glossy/Matte,Official documents,Premium paper recommended
Ticket,50x100,150-250,600-1200,Matte,Events,Perforated paper
Menu,100x150,200-300,300-600,Matte/Glossy,Hospitality,Durable cardstock recommended
Booklet,148x210,80-150,300-600,Matte,Publications,Self-cover or cover + insert
Letterhead,210x297,80-120,300-600,Matte/Bond,Business,24 lb bond minimum
Notebook Cover,210x297,200-350,300-600,Glossy/Matte,Office,Cardstock for durability
Sticker,25-254 various,120-300,600-1200,Glossy/Matte,Labels,Self-adhesive vinyl
Invoice,210x297,80-100,300-600,Matte/Bond,Financial,Plain or pre-printed
Receipt,75x190,55-80,300-600,Thermal,Point of Sale,Thermal paper for fast printing
Packaging,various,120-300,300-600,Matte/Kraft,Shipping,Corrugated or kraft stock
Vinyl Banner,various,200-400,600-1200,Glossy,Outdoor,UV resistant
Foam Board,various,500-2000,N/A,N/A,Display,Rigid substrate
Canvas,various,400-600,N/A,N/A,Art,Cotton blend
Magnetic,various,200-300,300-600,Glossy/Matte,Refrigeration,Magnet backing
Vellum,various,80-120,300-600,Translucent,Specialty,Semi-transparent paper
Cardstock,various,200-350,600-1200,Matte/Glossy,Cards,Heavy weight paper
