adjective,severity,category
bất hợp pháp,high,moral
bất đạo đức,high,moral
tham nhũng,high,moral
không trung thực,high,moral
hèn nhát,high,moral
sa đọa,high,moral
kinh tởm,high,moral
ghê sợ,high,moral
bê dâm,high,moral
không phù hợp,high,moral
biến thái,high,moral
độc hại,high,moral
kẻ phản bội,high,moral
không trung thành,high,moral
giả dối,high,moral
nói dối,high,moral
lừa dối,high,moral
không trung thành,high,moral
ngoại tình,high,moral
đê tiện,high,moral
tham muốn,high,moral
loạn lạc,high,moral
bất chính,high,moral
libertino,high,moral
vô tổ chức,high,moral
vô liêm sỉ,high,moral
trắng trợn,high,moral
gan dạ,high,moral
thô lỗ,high,moral
thô thiển,high,moral
tục tạp,high,moral
bình thường,high,moral
thô ráp,high,moral
nông thôn,high,moral
nông dân,high,moral
vô học,high,moral
mù chữ,high,moral
ngu ngốc,high,moral
đần độn,high,moral
trục trặc,high,moral
chậm tiến,high,moral
yếu đuối,high,moral
hèn nhát,high,moral
sợ hãi,high,moral
hèn nhát,high,moral
e thẹn,high,moral
rút lui,high,moral
phục tùng,high,moral
bị hạ nhục,high,moral
xấu hổ,high,moral
xấu hổ,high,moral
không danh dự,high,moral
xấu hổ,high,moral
xấu hổ,high,moral
chế nhạo,high,moral
chế nhạo,high,moral
châm biếm,high,moral
mỉa mai,high,moral
sắc sảo,high,moral
axit,high,moral
mỉa mai,high,moral
vô lương tâm,high,moral
tàn ác,high,moral
vô nhân tính,high,moral
quỷ dữ,high,moral
xa tăc,high,moral
ác quỷ,high,moral
địa ngục,high,moral
bị nguyền rủa,high,moral
bị nguyền rủa,high,moral
khủng khiếp,high,moral
ghê sợ,high,moral
ghê sợ,high,moral
ghê sợ,high,moral
ghê sợ,high,moral
hôi thối,high,moral
bẩn,high,moral
bẩn,high,moral
ô uế,high,moral
sơ suất,high,moral
vô cảm,high,moral
lạnh lùng,high,moral
lười biếng,high,moral
không động,high,moral
suy thoái,high,moral
sụp đổ,high,moral
không may,high,moral
bất hạnh,high,moral
không may,high,moral
không may,high,moral
không may mắn,high,moral
không may,high,moral
không may,high,moral
sa đọa,high,moral
xấu hổ,high,moral
