adjective,severity,category
사생아,high,moral
부도덕,high,moral
부패,high,moral
부정직,high,moral
비열,high,moral
타락,high,moral
혐오,high,moral
혐오,high,moral
외설적,high,moral
부적절,high,moral
변태,high,moral
독성,high,moral
배신자,high,moral
부정직,high,moral
거짓,high,moral
거짓말,high,moral
사기,high,moral
부정직,high,moral
간통,high,moral
음란,high,moral
음색,high,moral
문란,high,moral
방종,high,moral
자유로운,high,moral
방종,high,moral
뻔뻔한,high,moral
뻔뻔한,high,moral
대담한,high,moral
거친,high,moral
거친,high,moral
저속한,high,moral
흔한,high,moral
거칠게,high,moral
시골,high,moral
농부,high,moral
무식한,high,moral
문맹,high,moral
멍청이,high,moral
바보,high,moral
바보,high,moral
지체,high,moral
약한,high,moral
겁쟁이,high,moral
겁나는,high,moral
겁쟁이,high,moral
부끄러워,high,moral
내성적,high,moral
순종적,high,moral
모욕당한,high,moral
부끄러운,high,moral
부끄러운,high,moral
불명예,high,moral
수치심,high,moral
수치심,high,moral
조롱,high,moral
조롱,high,moral
풍자,high,moral
아이러니,high,moral
날카로운,high,moral
부식,high,moral
풍자,high,moral
무자비한,high,moral
잔인한,high,moral
비인간적,high,moral
악마적,high,moral
사탄적,high,moral
악마적,high,moral
지옥의,high,moral
저주,high,moral
저주,high,moral
끔찍한,high,moral
혐오,high,moral
불쾌,high,moral
불쾌,high,moral
불쾌,high,moral
냄새,high,moral
더러운,high,moral
더러운,high,moral
오염,high,moral
부주의,high,moral
무관심,high,moral
무관심,high,moral
게으른,high,moral
불활성,high,moral
타락,high,moral
허물어진,high,moral
불행,high,moral
불행,high,moral
불행,high,moral
불행,high,moral
운이 없는,high,moral
불행,high,moral
불행,high,moral
타락,high,moral
부끄러운,high,moral
