adjective,severity,category
ขี้ครวญ,high,moral
ไม่มีศีลธรรม,high,moral
เสียหายไป,high,moral
ไม่ซื่อสัตย์,high,moral
ต่ำลง,high,moral
เสื่อมเสีย,high,moral
น่าเกลียด,high,moral
น่าขยะแขยง,high,moral
เหลวไหล,high,moral
ไม่เหมาะสม,high,moral
บิดเบือน,high,moral
เป็นพิษ,high,moral
ผู้ทรยศ,high,moral
ไม่จริงใจ,high,moral
เท็จ,high,moral
โกหก,high,moral
หลอกลวง,high,moral
ไม่จริงใจ,high,moral
บังคับใจ,high,moral
โลภโลมน์,high,moral
ทางเพศ,high,moral
เชิงเพศ,high,moral
บ่อนไม่ได้,high,moral
ตัวแสนฉิบหาย,high,moral
ไม่ปิด,high,moral
ไร้สติ,high,moral
กล้า,high,moral
กล้าหาญ,high,moral
หยาบคาย,high,moral
หยาบ,high,moral
ไม่วัฒนะ,high,moral
สามัญ,high,moral
หยาบ,high,moral
ชนบท,high,moral
เกษตรกร,high,moral
โง่,high,moral
ไม่รู้หนังสือ,high,moral
โง่,high,moral
ความง่อ,high,moral
ไร้สติ,high,moral
ขี้ขลาด,high,moral
บ้า,high,moral
ขี้ขลาด,high,moral
ลาว,high,moral
อายุ,high,moral
ลำบาก,high,moral
ถูกอาป๊ะ,high,moral
หายนะ,high,moral
โทษ,high,moral
ลงลาง,high,moral
ลงลาง,high,moral
ข่มเหง,high,moral
ลงลาง,high,moral
ลงลาง,high,moral
เยาะเย้ย,high,moral
ล้อเลียน,high,moral
ดูหมิ่น,high,moral
เยาะเย้ย,high,moral
แสบคม,high,moral
กัดกร่าน,high,moral
เยาะเย้ย,high,moral
ไม่ปราณี,high,moral
โหด,high,moral
ไม่เป็นมนุษย์,high,moral
ปีศาจ,high,moral
ปีศาจ,high,moral
ปีศาจ,high,moral
นรก,high,moral
สาป,high,moral
สาป,high,moral
สยดสยอง,high,moral
น่ากลัว,high,moral
น่ากลัว,high,moral
น่ากลัว,high,moral
น่ากลัว,high,moral
เหม็นขี้,high,moral
สกปรก,high,moral
สกปรก,high,moral
เป้อะ,high,moral
ประมาท,high,moral
ไม่สนใจ,high,moral
ไม่สนใจ,high,moral
เกียจคร้าน,high,moral
บ้าน,high,moral
ถดถอย,high,moral
พังทลาย,high,moral
ทำให้ไม่มีความสุข,high,moral
โศก,high,moral
ทำให้ไม่มีความสุข,high,moral
ทำให้ไม่มีความสุข,high,moral
ไม่โชคดี,high,moral
ทำให้ไม่มีความสุข,high,moral
ทำให้ไม่มีความสุข,high,moral
เสื่อมเสีย,high,moral
อับอาย,high,moral
