adjective,severity,category
ابن الحرام,high,moral
غير أخلاقي,high,moral
فاسد,high,moral
غير أمين,high,moral
حقير,high,moral
متحلل,high,moral
مكروه,high,moral
بغيض,high,moral
فاحش,high,moral
غير لائق,high,moral
منحرف,high,moral
سام,high,moral
خائن,high,moral
غير مخلص,high,moral
كاذب,high,moral
كاذب,high,moral
خادع,high,moral
غير مخلص,high,moral
زاني,high,moral
شهواني,high,moral
جنسي,high,moral
فاسق,high,moral
جامح,high,moral
إباحي,high,moral
جامح,high,moral
وقح,high,moral
جريء,high,moral
جريء,high,moral
فظ,high,moral
فظ,high,moral
بذيء,high,moral
عادي,high,moral
خشن,high,moral
ريفي,high,moral
فلاح,high,moral
جاهل,high,moral
أمي,high,moral
أحمق,high,moral
غبي,high,moral
أحمق,high,moral
متأخر,high,moral
ضعيف,high,moral
جبان,high,moral
خائف,high,moral
جبان,high,moral
خجول,high,moral
منطو,high,moral
مطيع,high,moral
مذل,high,moral
خزي,high,moral
خزي,high,moral
عار,high,moral
مخزي,high,moral
مخزي,high,moral
سخري,high,moral
سخري,high,moral
هجائي,high,moral
ساخر,high,moral
لاذع,high,moral
كاوٍ,high,moral
ساخر,high,moral
لا رحمة,high,moral
قاسي,high,moral
لا إنساني,high,moral
شيطاني,high,moral
شيطاني,high,moral
شيطاني,high,moral
جهنمي,high,moral
ملعون,high,moral
ملعون,high,moral
فظيع,high,moral
كريه,high,moral
مكروه,high,moral
مكروه,high,moral
مكروه,high,moral
منتن,high,moral
قذر,high,moral
قذر,high,moral
ملوث,high,moral
مهمل,high,moral
لامبالي,high,moral
لامبالي,high,moral
كسول,high,moral
خامل,high,moral
متدهور,high,moral
مدمر,high,moral
شقي,high,moral
شقي,high,moral
شقي,high,moral
شقي,high,moral
محروم,high,moral
شقي,high,moral
شقي,high,moral
فاسد,high,moral
مخزي,high,moral
