adjective,severity,category
私生子,high,moral
不道德,high,moral
腐败,high,moral
不诚实,high,moral
卑鄙,high,moral
堕落,high,moral
令人厌恶,high,moral
令人厌恶,high,moral
下流,high,moral
不得体,high,moral
变态,high,moral
有毒,high,moral
叛徒,high,moral
不忠实,high,moral
虚假,high,moral
说谎者,high,moral
欺骗,high,moral
不忠实,high,moral
通奸,high,moral
好色,high,moral
色欲,high,moral
滥交,high,moral
放纵,high,moral
浪荡子,high,moral
放纵,high,moral
厚颜无耻,high,moral
大胆,high,moral
大胆,high,moral
粗鲁,high,moral
粗俗,high,moral
粗俗,high,moral
平凡,high,moral
粗糙,high,moral
农村,high,moral
农民,high,moral
无知,high,moral
文盲,high,moral
愚蠢,high,moral
傻瓜,high,moral
白痴,high,moral
迟钝,high,moral
虚弱,high,moral
懦夫,high,moral
害怕,high,moral
懦弱,high,moral
害羞,high,moral
内向,high,moral
顺从,high,moral
羞辱,high,moral
羞愧,high,moral
羞愧,high,moral
耻辱,high,moral
耻辱,high,moral
耻辱,high,moral
嘲笑,high,moral
嘲笑,high,moral
讽刺,high,moral
讽刺,high,moral
尖刻,high,moral
腐蚀,high,moral
讽刺,high,moral
无情,high,moral
残忍,high,moral
非人道,high,moral
魔鬼般,high,moral
撒旦,high,moral
恶魔,high,moral
地狱般,high,moral
诅咒,high,moral
诅咒,high,moral
可怕,high,moral
可憎,high,moral
厌恶,high,moral
厌恶,high,moral
厌恶,high,moral
臭,high,moral
肮脏,high,moral
肮脏,high,moral
污染,high,moral
疏忽,high,moral
冷漠,high,moral
冷漠,high,moral
懒惰,high,moral
惯性,high,moral
衰退,high,moral
衰败,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
堕落,high,moral
耻辱,high,moral
