adjective,severity,category
namussuz,high,moral
ahlaksız,high,moral
yozlaşmış,high,moral
dürüst olmayan,high,moral
alçak,high,moral
bozulmuş,high,moral
tiksindirici,high,moral
iğrenç,high,moral
müstehcen,high,moral
uygunsuz,high,moral
sapkın,high,moral
zehirli,high,moral
hain,high,moral
sadakatsiz,high,moral
sahte,high,moral
yalancı,high,moral
aldatıcı,high,moral
sadakatsiz,high,moral
zina,high,moral
şehvetli,high,moral
sefahatta,high,moral
evlenme,high,moral
yaşkın,high,moral
libertenci,high,moral
dizgin,high,moral
asabiye,high,moral
utanmaz,high,moral
cüretkâr,high,moral
kaba,high,moral
kaba,high,moral
kültürsüz,high,moral
sıradan,high,moral
kaba,high,moral
kırsal,high,moral
çiftçi,high,moral
bilgisiz,high,moral
okur yazar değil,high,moral
aptal,high,moral
salak,high,moral
deli,high,moral
geriden kalanı,high,moral
zayıf,high,moral
korkak,high,moral
korkulan,high,moral
korkak,high,moral
utangaç,high,moral
çekingen,high,moral
itaatkar,high,moral
aşağılanmış,high,moral
utanç,high,moral
utanç verici,high,moral
şerefli,high,moral
şerefli,high,moral
şerefli,high,moral
alay,high,moral
alay,high,moral
satirik,high,moral
ironik,high,moral
sivri,high,moral
aşındırıcı,high,moral
sarkastik,high,moral
merhametsiz,high,moral
acımasız,high,moral
insansız,high,moral
şeytani,high,moral
şeytani,high,moral
şeytani,high,moral
cehennem,high,moral
lanetli,high,moral
lanetli,high,moral
korkunç,high,moral
iğrenç,high,moral
iğrenç,high,moral
iğrenç,high,moral
iğrenç,high,moral
kötü kokuşmuş,high,moral
kirli,high,moral
kirli,high,moral
lekeli,high,moral
ihmal,high,moral
apatis,high,moral
kayıtsız,high,moral
tembel,high,moral
atalet,high,moral
gerileme,high,moral
yıkılmış,high,moral
talihsiz,high,moral
mutsuz,high,moral
talihsiz,high,moral
talihsiz,high,moral
şanssız,high,moral
talihsiz,high,moral
talihsiz,high,moral
yozlaşmış,high,moral
şerefli,high,moral
