adjective,severity,category
törvénytelen,high,moral
erkölcstelen,high,moral
megromlott,high,moral
tisztességtelen,high,moral
alávaló,high,moral
megromlott,high,moral
visszatetszö,high,moral
undorító,high,moral
obszcén,high,moral
sértegetö,high,moral
megromlott,high,moral
mérges,high,moral
áruló,high,moral
hűtlen,high,moral
hamis,high,moral
hazug,high,moral
megtévesztö,high,moral
hűtlen,high,moral
házasságtörö,high,moral
kicsapongó,high,moral
kéjes,high,moral
promiszkuus,high,moral
feslettség,high,moral
libertinus,high,moral
feslettség,high,moral
zabolátlan,high,moral
szemtelen,high,moral
szemtelen,high,moral
merész,high,moral
durva,high,moral
durva,high,moral
vulgáris,high,moral
közönséges,high,moral
durva,high,moral
vidéki,high,moral
paraszt,high,moral
tudatlan,high,moral
írástudatlan,high,moral
hülye,high,moral
bolond,high,moral
idióta,high,moral
fejlödésben visszamaradt,high,moral
gyenge,high,moral
fejedelem,high,moral
félénk,high,moral
félénk,high,moral
félénk,high,moral
zavartkozott,high,moral
visszahúzódó,high,moral
megalázott,high,moral
szégyelmes,high,moral
szégyelmes,high,moral
becstelenültetö,high,moral
becstelenítö,high,moral
becstelenítö,high,moral
nevetséges,high,moral
gúnyos,high,moral
szatírikus,high,moral
ironikus,high,moral
szúrós,high,moral
maró,high,moral
szarkaztikus,high,moral
könyörtelen,high,moral
kegyetlen,high,moral
embertelenség,high,moral
ördögi,high,moral
sátáni,high,moral
démonikus,high,moral
pokolian,high,moral
átkozott,high,moral
átkozott,high,moral
szörnyü,high,moral
utálatosan,high,moral
utálatos,high,moral
utálatos,high,moral
utálatos,high,moral
büdös,high,moral
piszkos,high,moral
piszkos,high,moral
szennyes,high,moral
gondatlanság,high,moral
apátikus,high,moral
közömbös,high,moral
lusta,high,moral
lusta,high,moral
sulyos,high,moral
leromlott,high,moral
szerencsétlen,high,moral
szerencsétlen,high,moral
szerencsétlen,high,moral
szerencsétlen,high,moral
szerencséjétlen,high,moral
szerencsétlen,high,moral
szerencsétlen,high,moral
korrupt,high,moral
becstelenítö,high,moral
