adjective,severity,category
bastard,high,moral
tidak bermoral,high,moral
korup,high,moral
tidak jujur,high,moral
hina,high,moral
terdegradasi,high,moral
menjijikkan,high,moral
menjijikkan,high,moral
cabul,high,moral
tidak sopan,high,moral
menyimpang,high,moral
beracun,high,moral
pengkhianat,high,moral
tidak setia,high,moral
palsu,high,moral
pendusta,high,moral
menipu,high,moral
tidak setia,high,moral
zina,high,moral
bergairah,high,moral
penuh hasrat,high,moral
promiskuitas,high,moral
tidak terurus,high,moral
libertinisme,high,moral
tidak terkendali,high,moral
tidak sopan,high,moral
tidak malu,high,moral
berani,high,moral
tidak sopan,high,moral
kasar,high,moral
vulgar,high,moral
biasa,high,moral
kasar,high,moral
pedesaan,high,moral
petani,high,moral
tidak tahu,high,moral
tidak bisa membaca,high,moral
bodoh,high,moral
tolol,high,moral
idiot,high,moral
mundur,high,moral
lemah,high,moral
pengecut,high,moral
takut,high,moral
pengecut,high,moral
pemalu,high,moral
tertutup,high,moral
tertaklukkan,high,moral
terhina,high,moral
memalukan,high,moral
memalukan,high,moral
tidak terhormat,high,moral
memalukan,high,moral
memalukan,high,moral
mengejek,high,moral
mengejek,high,moral
satir,high,moral
ironis,high,moral
pedas,high,moral
kaustis,high,moral
sarkastis,high,moral
tanpa belas kasihan,high,moral
kejam,high,moral
tidak manusiawi,high,moral
setan,high,moral
setan,high,moral
kesurupan,high,moral
neraka,high,moral
terkutuk,high,moral
terkutuk,high,moral
mengerikan,high,moral
keji,high,moral
menolak,high,moral
menolak,high,moral
keji,high,moral
bau busuk,high,moral
kotor,high,moral
kotor,high,moral
terkotori,high,moral
lalai,high,moral
apatis,high,moral
acuh,high,moral
malas,high,moral
lemah,high,moral
merosot,high,moral
terpuruk,high,moral
sial,high,moral
sial,high,moral
sial,high,moral
sial,high,moral
beruntung,high,moral
sial,high,moral
sial,high,moral
rusak,high,moral
memalukan,high,moral
