adjective,severity,category
ממזר,high,moral
לא מוסרי,high,moral
שחות,high,moral
לא כן,high,moral
נשפל,high,moral
שחות,high,moral
מגעיל,high,moral
משנוא,high,moral
בלתי מנומס,high,moral
בלתי הולם,high,moral
סוטה,high,moral
רעיל,high,moral
בוגד,high,moral
בלתי נאמן,high,moral
שקרי,high,moral
שקרן,high,moral
מטעה,high,moral
בלתי נאמן,high,moral
זנותי,high,moral
תאבי,high,moral
תאבי,high,moral
זנותי,high,moral
חסר רסן,high,moral
ליברטין,high,moral
חסר רסן,high,moral
חצוף,high,moral
חצוף,high,moral
אמיץ,high,moral
גס,high,moral
גס,high,moral
וולגרי,high,moral
הומוני,high,moral
גס,high,moral
כפרי,high,moral
איכר,high,moral
בור,high,moral
אנציקלופדי,high,moral
טיפש,high,moral
שוטה,high,moral
בן חורה,high,moral
מפגר,high,moral
חלש,high,moral
פחדן,high,moral
פוחד,high,moral
פחדן,high,moral
ביישן,high,moral
כנוס,high,moral
שמור,high,moral
משפל,high,moral
כלם,high,moral
בושה,high,moral
חסר כבוד,high,moral
מביש,high,moral
מביש,high,moral
מלעיג,high,moral
לועג,high,moral
סטיריקט,high,moral
אירוני,high,moral
קוצץ,high,moral
שוחק,high,moral
סרקסטי,high,moral
חסר רחמים,high,moral
אכזרי,high,moral
בלתי אנושי,high,moral
שיתני,high,moral
סטני,high,moral
דמוני,high,moral
גיהינום,high,moral
קלל,high,moral
קלל,high,moral
נורא,high,moral
שנוא,high,moral
שנוא,high,moral
שנוא,high,moral
שנוא,high,moral
סרוח,high,moral
מלוכלך,high,moral
מלוכלך,high,moral
מטונף,high,moral
רשלן,high,moral
אדיש,high,moral
אדיש,high,moral
עצלן,high,moral
אינרטי,high,moral
מדרדר,high,moral
הרוס,high,moral
אומלל,high,moral
אוכל לכל,high,moral
אומלל,high,moral
אומלל,high,moral
חסר מזל,high,moral
אומלל,high,moral
אומלל,high,moral
שחות,high,moral
בושה,high,moral
